,station_id,station_lat,station_lon,station_region,early_late,early_days,late_days,both_days
0,USC00500230,66.5653,-152.6425,1.0,,,,
1,USC00500243,60.9583,-149.1108,1.0,2.0,,10958.0,
2,USC00500302,61.6244,-149.3397,1.0,,,,
3,USC00500363,58.3183,-134.1003,1.0,,,,
4,USC00500464,58.3814,-134.645,1.0,,,,
5,USC00500657,55.3575,-131.6969,1.0,1.0,10593.0,,
6,USC00501240,61.0183,-147.5147,1.0,,,,
7,USC00501321,59.8,-144.6,1.0,,,,
8,USC00501466,65.5667,-144.7653,1.0,,,,
9,USC00501926,62.8256,-149.9061,1.0,,,,
10,USC00501987,65.4939,-144.6422,1.0,,,,
11,USC00502107,64.8603,-147.8483,1.0,3.0,10958.0,10593.0,21551.0
12,USC00502112,64.925,-147.8803,1.0,,,,
13,USC00502144,60.3925,-149.6661,1.0,,,,
14,USC00502457,59.05,-158.5167,1.0,,,,
15,USC00502587,53.895,-166.5433,1.0,2.0,,10958.0,
16,USC00502607,64.7856,-141.2036,1.0,2.0,,10958.0,
17,USC00502656,61.2967,-149.44,1.0,2.0,,10227.0,
18,USC00502707,64.6667,-147.1,1.0,,,,
19,USC00502730,61.4667,-149.1667,1.0,,,,
20,USC00502785,58.1917,-136.3436,1.0,,,,
21,USC00503275,64.9767,-147.5211,1.0,,,,
22,USC00503299,61.1,-149.6936,1.0,,,,
23,USC00503304,62.1086,-145.5331,1.0,,,,
24,USC00503504,59.4503,-136.3614,1.0,2.0,,10592.0,
25,USC00503655,62.1833,-159.7667,1.0,,,,
26,USC00503672,59.7444,-151.6347,1.0,2.0,,10958.0,
27,USC00503933,59.555,-154.4983,1.0,,,,
28,USC00504092,58.3,-134.4,1.0,,,,
29,USC00504812,58.1914,-152.3722,1.0,,,,
30,USC00505136,70.3289,-149.6114,1.0,2.0,,10228.0,
31,USC00505464,61.6267,-149.0364,1.0,2.0,,10592.0,
32,USC00505519,56.3831,-134.6497,1.0,1.0,10592.0,,
33,USC00505604,60.5181,-148.093,1.0,2.0,,9861.0,
