,station_id,station_lat,station_lon,station_domain,early_late,early_days,late_days,both_days
0,USC00060128,41.3492,-73.0917,1,,,,
1,USC00060227,41.8417,-73.0086,1,2,,10593,
2,USC00060299,41.9211,-72.9636,1,3,10227,10593,20820
3,USC00060801,41.2,-73.2,1,,,,
4,USC00060918,41.7833,-71.95,1,1,9862,,
5,USC00060961,41.6764,-73.5086,1,1,10227,,
6,USC00060973,41.7944,-72.9319,1,3,10227,10593,20820
7,USC00061488,41.4614,-72.5197,1,1,10958,,
8,USC00061499,41.55,-72.3667,1,,,,
9,USC00061536,41.8,-72.9333,1,,,,
10,USC00061689,41.8,-72.35,1,,,,
11,USC00061715,41.9,-73.3167,1,,,,
12,USC00061762,41.4003,-73.4211,1,1,10958,,
13,USC00062658,41.95,-73.3667,1,1,10958,,
14,USC00063207,41.3503,-72.0378,1,1,10958,,
15,USC00063989,41.4,-72.1833,1,,,,
16,USC00064488,41.7569,-72.1856,1,1,10227,,
17,USC00064767,41.55,-72.7167,1,1,10958,,
18,USC00065077,41.4078,-72.9028,1,1,10593,,
19,USC00065309,41.35,-72.1,1,,,,
20,USC00065445,41.9725,-73.2208,1,3,10958,10593,21551
21,USC00065892,41.1333,-73.45,1,,,,
22,USC00065910,41.5267,-72.0653,1,,,,
23,USC00066655,41.0825,-73.6386,1,,,,
24,USC00066966,41.5833,-73.4333,1,1,10227,,
25,USC00067002,41.3008,-73.5369,1,,,,
26,USC00067109,41.9833,-73.45,1,,,,
27,USC00067157,41.25,-73.35,1,1,10228,,
28,USC00067373,41.7167,-73.3,1,1,10958,,
29,USC00067432,41.6444,-72.8167,1,1,10592,,
30,USC00067970,41.1247,-73.5475,1,,,,
31,USC00068065,41.3819,-73.1717,1,1,10227,,
32,USC00068138,41.795,-72.2286,1,1,10227,,
33,USC00068436,41.8,-73.1167,1,,,,
34,USC00068906,41.55,-73.0333,1,,,,
35,USC00068911,41.5667,-73.0333,1,,,,
36,USC00069067,41.3,-72.4333,1,,,,
37,USC00069162,41.8089,-72.7806,1,,,,
38,USC00069388,41.9442,-71.9031,1,,,,
39,USC00069568,41.6667,-73.1333,1,1,10593,,
40,USC00069775,41.5536,-73.2297,1,,,,
41,USC00170200,47.0886,-69.025,1,,,,
42,USC00170409,43.9317,-69.8564,1,2,,10227,
43,USC00170480,44.395,-68.9892,1,3,10958,10593,21551
44,USC00170600,45.0697,-69.9056,1,,,,
45,USC00170814,45.6603,-69.812,1,3,10958,10958,21916
46,USC00170833,46.4283,-67.8442,1,2,,10592,
47,USC00170844,44.07,-70.7467,1,2,,10227,
48,USC00171628,44.9197,-69.2417,1,3,9863,10593,20456
49,USC00171835,45.6333,-67.9,1,,,,
50,USC00171975,45.1872,-69.1842,1,2,,10593,
51,USC00172048,43.9997,-70.0964,1,,,,
52,USC00172238,43.8786,-70.7539,1,,,,
53,USC00172539,44.3167,-69.9,1,,,,
54,USC00172620,44.5333,-68.4333,1,1,10593,,
55,USC00172695,45.2,-70.5,1,,,,
56,USC00172700,45.2103,-70.4728,1,2,,9862,
57,USC00172765,44.6894,-70.1564,1,3,10958,10958,21916
58,USC00172878,47.2386,-68.6119,1,2,,10593,
