available_files,metadata_stations,missing_from_available
ACW00011604,ACW00011604,GMM00010628
ACW00011647,ACW00011647,US1VAAG0015
AE000041196,AE000041196,USC00052212
AEM00041194,AEM00041194,USC00054721
AEM00041217,AEM00041217,USC00058590
AEM00041218,AEM00041218,USC00130046
AF000040930,AF000040930,USC00130580
AFM00040938,AFM00040938,USC00132200
AFM00040948,AFM00040948,USC00138701
AFM00040990,AFM00040990,USC00151652
AG000060390,AG000060390,USC00301105
AG000060590,AG000060590,USC00322148
AG000060611,AG000060611,USC00329426
AG000060680,AG000060680,USC00428705
AGE00135039,AGE00135039,USC00434122
AGE00147704,AGE00147704,USC00474590
AGE00147705,AGE00147705,USC00510744
AGE00147706,AGE00147706,USC00510822
AGE00147707,AGE00147707,USC00510920
AGE00147708,AGE00147708,USC00511308
AGE00147709,AGE00147709,USC00513080
AGE00147710,AGE00147710,USC00513171
AGE00147711,AGE00147711,USC00516261
AGE00147712,AGE00147712,USC00516400
AGE00147713,AGE00147713,USC00516865
AGE00147714,AGE00147714,USC00516938
AGE00147715,AGE00147715,USC00517052
AGE00147716,AGE00147716,USC00517116
AGE00147717,AGE00147717,USC00517460
AGE00147718,AGE00147718,USC00517662
AGE00147719,AGE00147719,USC00518053
AGE00147720,AGE00147720,USC00518314
AGE00147780,AGE00147780,USC00518816
AGE00147794,AGE00147794,USC00519084
AGM00060351,AGM00060351,USC00519257
AGM00060353,AGM00060353,USC00519286
AGM00060355,AGM00060355,USC00519475
AGM00060360,AGM00060360,
AGM00060367,AGM00060367,
AGM00060369,AGM00060369,
AGM00060387,AGM00060387,
AGM00060402,AGM00060402,
AGM00060403,AGM00060403,
AGM00060405,AGM00060405,
AGM00060410,AGM00060410,
AGM00060415,AGM00060415,
AGM00060417,AGM00060417,
AGM00060419,AGM00060419,
AGM00060421,AGM00060421,
AGM00060423,AGM00060423,
AGM00060425,AGM00060425,
AGM00060430,AGM00060430,
AGM00060437,AGM00060437,
AGM00060444,AGM00060444,
AGM00060445,AGM00060445,
AGM00060452,AGM00060452,
AGM00060457,AGM00060457,
AGM00060461,AGM00060461,
AGM00060467,AGM00060467,
AGM00060468,AGM00060468,
AGM00060471,AGM00060471,
AGM00060475,AGM00060475,
AGM00060476,AGM00060476,
AGM00060490,AGM00060490,
AGM00060506,AGM00060506,
AGM00060507,AGM00060507,
AGM00060511,AGM00060511,
AGM00060514,AGM00060514,
AGM00060515,AGM00060515,
AGM00060518,AGM00060518,
AGM00060520,AGM00060520,
AGM00060522,AGM00060522,
AGM00060531,AGM00060531,
AGM00060535,AGM00060535,
AGM00060536,AGM00060536,
AGM00060540,AGM00060540,
AGM00060549,AGM00060549,
AGM00060550,AGM00060550,
AGM00060555,AGM00060555,
AGM00060557,AGM00060557,
AGM00060559,AGM00060559,
AGM00060560,AGM00060560,
AGM00060563,AGM00060563,
AGM00060566,AGM00060566,
AGM00060571,AGM00060571,
AGM00060580,AGM00060580,
AGM00060581,AGM00060581,
AGM00060602,AGM00060602,
AGM00060603,AGM00060603,
AGM00060607,AGM00060607,
AGM00060620,AGM00060620,
AGM00060630,AGM00060630,
AGM00060640,AGM00060640,
AGM00060656,AGM00060656,
AGM00060670,AGM00060670,
AGM00060686,AGM00060686,
AGM00060690,AGM00060690,
AJ000037575,AJ000037575,
AJ000037579,AJ000037579,
AJ000037605,AJ000037605,
AJ000037636,AJ000037636,
AJ000037639,AJ000037639,
AJ000037656,AJ000037656,
AJ000037661,AJ000037661,
AJ000037668,AJ000037668,
AJ000037673,AJ000037673,
AJ000037674,AJ000037674,
AJ000037675,AJ000037675,
AJ000037679,AJ000037679,
AJ000037729,AJ000037729,
AJ000037734,AJ000037734,
AJ000037735,AJ000037735,
AJ000037740,AJ000037740,
AJ000037742,AJ000037742,
AJ000037744,AJ000037744,
AJ000037747,AJ000037747,
AJ000037749,AJ000037749,
AJ000037753,AJ000037753,
AJ000037756,AJ000037756,
AJ000037759,AJ000037759,
AJ000037769,AJ000037769,
AJ000037813,AJ000037813,
AJ000037816,AJ000037816,
AJ000037825,AJ000037825,
AJ000037831,AJ000037831,
AJ000037832,AJ000037832,
AJ000037835,AJ000037835,
AJ000037844,AJ000037844,
AJ000037849,AJ000037849,
AJ000037850,AJ000037850,
AJ000037860,AJ000037860,
AJ000037861,AJ000037861,
AJ000037866,AJ000037866,
AJ000037869,AJ000037869,
AJ000037883,AJ000037883,
AJ000037888,AJ000037888,
AJ000037893,AJ000037893,
AJ000037895,AJ000037895,
AJ000037898,AJ000037898,
AJ000037899,AJ000037899,
AJ000037901,AJ000037901,
AJ000037902,AJ000037902,
AJ000037905,AJ000037905,
AJ000037907,AJ000037907,
AJ000037912,AJ000037912,
AJ000037913,AJ000037913,
AJ000037914,AJ000037914,
AJ000037922,AJ000037922,
AJ000037923,AJ000037923,
AJ000037925,AJ000037925,
AJ000037936,AJ000037936,
AJ000037941,AJ000037941,
AJ000037946,AJ000037946,
AJ000037947,AJ000037947,
AJ000037957,AJ000037957,
AJ000037962,AJ000037962,
AJ000037968,AJ000037968,
AJ000037972,AJ000037972,
AJ000037978,AJ000037978,
AJ000037981,AJ000037981,
AJ000037984,AJ000037984,
AJ000037985,AJ000037985,
AJ000037989,AJ000037989,
ALE00100939,ALE00100939,
ALE00108905,ALE00108905,
ALM00013615,ALM00013615,
AM000037608,AM000037608,
AM000037609,AM000037609,
AM000037618,AM000037618,
AM000037627,AM000037627,
AM000037629,AM000037629,
AM000037682,AM000037682,
AM000037683,AM000037683,
AM000037686,AM000037686,
AM000037689,AM000037689,
AM000037693,AM000037693,
AM000037694,AM000037694,
AM000037695,AM000037695,
AM000037698,AM000037698,
AM000037699,AM000037699,
AM000037700,AM000037700,
AM000037704,AM000037704,
AM000037705,AM000037705,
AM000037706,AM000037706,
AM000037708,AM000037708,
AM000037711,AM000037711,
AM000037713,AM000037713,
AM000037719,AM000037719,
AM000037772,AM000037772,
AM000037773,AM000037773,
AM000037774,AM000037774,
AM000037781,AM000037781,
AM000037782,AM000037782,
AM000037785,AM000037785,
AM000037786,AM000037786,
AM000037787,AM000037787,
AM000037789,AM000037789,
AM000037791,AM000037791,
AM000037792,AM000037792,
AM000037798,AM000037798,
AM000037801,AM000037801,
AM000037802,AM000037802,
AM000037808,AM000037808,
AM000037815,AM000037815,
AM000037871,AM000037871,
AM000037872,AM000037872,
AM000037873,AM000037873,
AM000037874,AM000037874,
AM000037875,AM000037875,
AM000037876,AM000037876,
AM000037878,AM000037878,
AM000037880,AM000037880,
AM000037884,AM000037884,
AM000037887,AM000037887,
AM000037897,AM000037897,
AM000037954,AM000037954,
AM000037958,AM000037958,
AM000037959,AM000037959,
AMM00037717,AMM00037717,
AO000066160,AO000066160,
AO000066270,AO000066270,
AO000066390,AO000066390,
AO000066410,AO000066410,
AO000066422,AO000066422,
AO000066447,AO000066447,
AQC00914000,AQC00914000,
AQC00914005,AQC00914005,
AQC00914021,AQC00914021,
AQC00914060,AQC00914060,
AQC00914135,AQC00914135,
AQC00914138,AQC00914138,
AQC00914141,AQC00914141,
AQC00914145,AQC00914145,
AQC00914149,AQC00914149,
AQC00914188,AQC00914188,
AQC00914248,AQC00914248,
AQC00914397,AQC00914397,
AQC00914424,AQC00914424,
AQC00914594,AQC00914594,
AQC00914650,AQC00914650,
AQC00914822,AQC00914822,
AQC00914869,AQC00914869,
AQC00914873,AQC00914873,
AQC00914902,AQC00914902,
AQC00914912,AQC00914912,
AQW00061705,AQW00061705,
AR000000001,AR000000001,
AR000000002,AR000000002,
AR000000003,AR000000003,
AR000000004,AR000000004,
AR000000005,AR000000005,
AR000000006,AR000000006,
AR000000007,AR000000007,
AR000000008,AR000000008,
AR000000009,AR000000009,
AR000000010,AR000000010,
AR000000011,AR000000011,
AR000000012,AR000000012,
AR000000013,AR000000013,
AR000000014,AR000000014,
AR000000015,AR000000015,
AR000000016,AR000000016,
AR000087007,AR000087007,
AR000087065,AR000087065,
AR000087078,AR000087078,
AR000087129,AR000087129,
AR000087155,AR000087155,
AR000087217,AR000087217,
AR000087257,AR000087257,
AR000087270,AR000087270,
AR000087344,AR000087344,
AR000087374,AR000087374,
AR000087418,AR000087418,
AR000087534,AR000087534,
AR000087623,AR000087623,
AR000087692,AR000087692,
AR000087715,AR000087715,
AR000087803,AR000087803,
AR000087828,AR000087828,
AR000087860,AR000087860,
AR000087925,AR000087925,
AR000870470,AR000870470,
AR000873050,AR000873050,
AR000875440,AR000875440,
AR000875850,AR000875850,
AR000877500,AR000877500,
ARM00087016,ARM00087016,
ARM00087022,ARM00087022,
ARM00087046,ARM00087046,
ARM00087121,ARM00087121,
ARM00087148,ARM00087148,
ARM00087162,ARM00087162,
ARM00087166,ARM00087166,
ARM00087178,ARM00087178,
ARM00087213,ARM00087213,
ARM00087222,ARM00087222,
ARM00087244,ARM00087244,
ARM00087289,ARM00087289,
ARM00087311,ARM00087311,
ARM00087320,ARM00087320,
ARM00087322,ARM00087322,
ARM00087328,ARM00087328,
ARM00087345,ARM00087345,
ARM00087349,ARM00087349,
ARM00087395,ARM00087395,
ARM00087416,ARM00087416,
ARM00087420,ARM00087420,
ARM00087436,ARM00087436,
ARM00087448,ARM00087448,
ARM00087453,ARM00087453,
ARM00087467,ARM00087467,
ARM00087480,ARM00087480,
ARM00087497,ARM00087497,
ARM00087506,ARM00087506,
ARM00087509,ARM00087509,
ARM00087532,ARM00087532,
ARM00087548,ARM00087548,
ARM00087550,ARM00087550,
ARM00087563,ARM00087563,
ARM00087576,ARM00087576,
ARM00087582,ARM00087582,
ARM00087593,ARM00087593,
ARM00087596,ARM00087596,
ARM00087637,ARM00087637,
ARM00087640,ARM00087640,
ARM00087641,ARM00087641,
ARM00087643,ARM00087643,
ARM00087645,ARM00087645,
ARM00087648,ARM00087648,
